2022-10-15 06:46:09 startup archives unpack
2022-10-15 06:46:09 install libjansson4:amd64 <none> 2.13.1-1.1
2022-10-15 06:46:09 status triggers-pending libc-bin:amd64 2.31-13+deb11u4
2022-10-15 06:46:09 status half-installed libjansson4:amd64 2.13.1-1.1
2022-10-15 06:46:09 status unpacked libjansson4:amd64 2.13.1-1.1
2022-10-15 06:46:09 install libmnl0:amd64 <none> 1.0.4-3
2022-10-15 06:46:09 status half-installed libmnl0:amd64 1.0.4-3
2022-10-15 06:46:09 status unpacked libmnl0:amd64 1.0.4-3
2022-10-15 06:46:09 install libnftnl11:amd64 <none> 1.1.9-1
2022-10-15 06:46:09 status half-installed libnftnl11:amd64 1.1.9-1
2022-10-15 06:46:09 status unpacked libnftnl11:amd64 1.1.9-1
2022-10-15 06:46:09 install libxtables12:amd64 <none> 1.8.7-1
2022-10-15 06:46:09 status half-installed libxtables12:amd64 1.8.7-1
2022-10-15 06:46:09 status unpacked libxtables12:amd64 1.8.7-1
2022-10-15 06:46:09 install libnftables1:amd64 <none> 0.9.8-3.1
2022-10-15 06:46:09 status half-installed libnftables1:amd64 0.9.8-3.1
2022-10-15 06:46:09 status unpacked libnftables1:amd64 0.9.8-3.1
2022-10-15 06:46:09 install nftables:amd64 <none> 0.9.8-3.1
2022-10-15 06:46:09 status half-installed nftables:amd64 0.9.8-3.1
2022-10-15 06:46:09 status unpacked nftables:amd64 0.9.8-3.1
2022-10-15 06:46:09 install libapparmor1:amd64 <none> 2.13.6-10
2022-10-15 06:46:09 status half-installed libapparmor1:amd64 2.13.6-10
2022-10-15 06:46:09 status unpacked libapparmor1:amd64 2.13.6-10
2022-10-15 06:46:09 install libcap2:amd64 <none> 1:2.44-1
2022-10-15 06:46:09 status half-installed libcap2:amd64 1:2.44-1
2022-10-15 06:46:09 status unpacked libcap2:amd64 1:2.44-1
2022-10-15 06:46:09 install libargon2-1:amd64 <none> 0~20171227-0.2
2022-10-15 06:46:09 status half-installed libargon2-1:amd64 0~20171227-0.2
2022-10-15 06:46:09 status unpacked libargon2-1:amd64 0~20171227-0.2
2022-10-15 06:46:10 install dmsetup:amd64 <none> 2:1.02.175-2.1
2022-10-15 06:46:10 status half-installed dmsetup:amd64 2:1.02.175-2.1
2022-10-15 06:46:10 status unpacked dmsetup:amd64 2:1.02.175-2.1
2022-10-15 06:46:10 install libdevmapper1.02.1:amd64 <none> 2:1.02.175-2.1
2022-10-15 06:46:10 status half-installed libdevmapper1.02.1:amd64 2:1.02.175-2.1
2022-10-15 06:46:10 status unpacked libdevmapper1.02.1:amd64 2:1.02.175-2.1
2022-10-15 06:46:10 install libjson-c5:amd64 <none> 0.15-2
2022-10-15 06:46:10 status half-installed libjson-c5:amd64 0.15-2
2022-10-15 06:46:10 status unpacked libjson-c5:amd64 0.15-2
2022-10-15 06:46:10 install libcryptsetup12:amd64 <none> 2:2.3.7-1+deb11u1
2022-10-15 06:46:10 status half-installed libcryptsetup12:amd64 2:2.3.7-1+deb11u1
2022-10-15 06:46:10 status unpacked libcryptsetup12:amd64 2:2.3.7-1+deb11u1
2022-10-15 06:46:10 install libip4tc2:amd64 <none> 1.8.7-1
2022-10-15 06:46:10 status half-installed libip4tc2:amd64 1.8.7-1
2022-10-15 06:46:10 status unpacked libip4tc2:amd64 1.8.7-1
2022-10-15 06:46:10 install libkmod2:amd64 <none> 28-1
2022-10-15 06:46:10 status half-installed libkmod2:amd64 28-1
2022-10-15 06:46:10 status unpacked libkmod2:amd64 28-1
2022-10-15 06:46:10 install systemd:amd64 <none> 247.3-7+deb11u1
2022-10-15 06:46:10 status half-installed systemd:amd64 247.3-7+deb11u1
2022-10-15 06:46:11 status unpacked systemd:amd64 247.3-7+deb11u1
2022-10-15 06:46:11 startup packages configure
2022-10-15 06:46:11 configure libapparmor1:amd64 2.13.6-10 <none>
2022-10-15 06:46:11 status unpacked libapparmor1:amd64 2.13.6-10
2022-10-15 06:46:11 status half-configured libapparmor1:amd64 2.13.6-10
2022-10-15 06:46:11 status installed libapparmor1:amd64 2.13.6-10
2022-10-15 06:46:11 configure libcap2:amd64 1:2.44-1 <none>
2022-10-15 06:46:11 status unpacked libcap2:amd64 1:2.44-1
2022-10-15 06:46:11 status half-configured libcap2:amd64 1:2.44-1
2022-10-15 06:46:11 status installed libcap2:amd64 1:2.44-1
2022-10-15 06:46:11 configure libargon2-1:amd64 0~20171227-0.2 <none>
2022-10-15 06:46:11 status unpacked libargon2-1:amd64 0~20171227-0.2
2022-10-15 06:46:11 status half-configured libargon2-1:amd64 0~20171227-0.2
2022-10-15 06:46:11 status installed libargon2-1:amd64 0~20171227-0.2
2022-10-15 06:46:11 configure libjson-c5:amd64 0.15-2 <none>
2022-10-15 06:46:11 status unpacked libjson-c5:amd64 0.15-2
2022-10-15 06:46:11 status half-configured libjson-c5:amd64 0.15-2
2022-10-15 06:46:11 status installed libjson-c5:amd64 0.15-2
2022-10-15 06:46:11 configure libip4tc2:amd64 1.8.7-1 <none>
2022-10-15 06:46:11 status unpacked libip4tc2:amd64 1.8.7-1
2022-10-15 06:46:11 status half-configured libip4tc2:amd64 1.8.7-1
2022-10-15 06:46:11 status installed libip4tc2:amd64 1.8.7-1
2022-10-15 06:46:11 configure libkmod2:amd64 28-1 <none>
2022-10-15 06:46:11 status unpacked libkmod2:amd64 28-1
2022-10-15 06:46:11 status half-configured libkmod2:amd64 28-1
2022-10-15 06:46:11 status installed libkmod2:amd64 28-1
2022-10-15 06:46:11 configure libdevmapper1.02.1:amd64 2:1.02.175-2.1 <none>
2022-10-15 06:46:11 status unpacked libdevmapper1.02.1:amd64 2:1.02.175-2.1
2022-10-15 06:46:11 status half-configured libdevmapper1.02.1:amd64 2:1.02.175-2.1
2022-10-15 06:46:11 status installed libdevmapper1.02.1:amd64 2:1.02.175-2.1
2022-10-15 06:46:11 configure libcryptsetup12:amd64 2:2.3.7-1+deb11u1 <none>
2022-10-15 06:46:11 status unpacked libcryptsetup12:amd64 2:2.3.7-1+deb11u1
2022-10-15 06:46:11 status half-configured libcryptsetup12:amd64 2:2.3.7-1+deb11u1
2022-10-15 06:46:11 status installed libcryptsetup12:amd64 2:2.3.7-1+deb11u1
2022-10-15 06:46:11 configure systemd:amd64 247.3-7+deb11u1 <none>
2022-10-15 06:46:11 status unpacked systemd:amd64 247.3-7+deb11u1
2022-10-15 06:46:11 status half-configured systemd:amd64 247.3-7+deb11u1
2022-10-15 06:46:12 status installed systemd:amd64 247.3-7+deb11u1
2022-10-15 06:46:12 configure dmsetup:amd64 2:1.02.175-2.1 <none>
2022-10-15 06:46:12 status unpacked dmsetup:amd64 2:1.02.175-2.1
2022-10-15 06:46:12 status half-configured dmsetup:amd64 2:1.02.175-2.1
2022-10-15 06:46:12 status installed dmsetup:amd64 2:1.02.175-2.1
2022-10-15 06:46:12 startup archives unpack
2022-10-15 06:46:12 install systemd-sysv:amd64 <none> 247.3-7+deb11u1
2022-10-15 06:46:12 status half-installed systemd-sysv:amd64 247.3-7+deb11u1
2022-10-15 06:46:12 status unpacked systemd-sysv:amd64 247.3-7+deb11u1
2022-10-15 06:46:12 install libdbus-1-3:amd64 <none> 1.12.24-0+deb11u1
2022-10-15 06:46:12 status half-installed libdbus-1-3:amd64 1.12.24-0+deb11u1
2022-10-15 06:46:12 status unpacked libdbus-1-3:amd64 1.12.24-0+deb11u1
2022-10-15 06:46:12 install dbus:amd64 <none> 1.12.24-0+deb11u1
2022-10-15 06:46:12 status half-installed dbus:amd64 1.12.24-0+deb11u1
2022-10-15 06:46:12 status unpacked dbus:amd64 1.12.24-0+deb11u1
2022-10-15 06:46:12 install udev:amd64 <none> 247.3-7+deb11u1
2022-10-15 06:46:12 status half-installed udev:amd64 247.3-7+deb11u1
2022-10-15 06:46:12 status unpacked udev:amd64 247.3-7+deb11u1
2022-10-15 06:46:12 install libnss-systemd:amd64 <none> 247.3-7+deb11u1
2022-10-15 06:46:12 status half-installed libnss-systemd:amd64 247.3-7+deb11u1
2022-10-15 06:46:12 status unpacked libnss-systemd:amd64 247.3-7+deb11u1
2022-10-15 06:46:12 install libpam-systemd:amd64 <none> 247.3-7+deb11u1
2022-10-15 06:46:12 status half-installed libpam-systemd:amd64 247.3-7+deb11u1
2022-10-15 06:46:12 status unpacked libpam-systemd:amd64 247.3-7+deb11u1
2022-10-15 06:46:13 install systemd-timesyncd:amd64 <none> 247.3-7+deb11u1
2022-10-15 06:46:13 status half-installed systemd-timesyncd:amd64 247.3-7+deb11u1
2022-10-15 06:46:13 status unpacked systemd-timesyncd:amd64 247.3-7+deb11u1
2022-10-15 06:46:13 install dns-root-data:all <none> 2021011101
2022-10-15 06:46:13 status half-installed dns-root-data:all 2021011101
2022-10-15 06:46:13 status unpacked dns-root-data:all 2021011101
2022-10-15 06:46:13 install libnfnetlink0:amd64 <none> 1.0.1-3+b1
2022-10-15 06:46:13 status half-installed libnfnetlink0:amd64 1.0.1-3+b1
2022-10-15 06:46:13 status unpacked libnfnetlink0:amd64 1.0.1-3+b1
2022-10-15 06:46:13 install libnetfilter-conntrack3:amd64 <none> 1.0.8-3
2022-10-15 06:46:13 status half-installed libnetfilter-conntrack3:amd64 1.0.8-3
2022-10-15 06:46:13 status unpacked libnetfilter-conntrack3:amd64 1.0.8-3
2022-10-15 06:46:13 install dnsmasq-base:amd64 <none> 2.85-1
2022-10-15 06:46:13 status half-installed dnsmasq-base:amd64 2.85-1
2022-10-15 06:46:13 status unpacked dnsmasq-base:amd64 2.85-1
2022-10-15 06:46:13 install libip6tc2:amd64 <none> 1.8.7-1
2022-10-15 06:46:13 status half-installed libip6tc2:amd64 1.8.7-1
